Product Name,Parent SKU,EAN,Color,Size,Price EUR,Gender,Category,Composition,Description,Features,Weight,URL
Giacca ibrida LAB da uomo,32A3387,8059342329098,Black,48,99.99,Man,Outlet,MAIN FABRIC 94% POLYESTER 6% ELASTANE; INSIDE 100% POLYESTER; INSERT 100% NYLON; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS,"Hybrid softshell jacket inspired by the city but equipped with all the best technologies from the CMP outdoor collection such as the Clima Protect membrane, a special thematic laminate applicated between the fabrics, which protects from the elements while maintaining breathability. Together with PFC free water repellent treatment it ensures excellent waterproofing (WP 5,000 MVP 5,000). A garment with a young, sporty look designed for urban, everyday use.",WP 5.000; MVP 5.000; CMP for Planet; Clima Protect®; Sorona® Flat gr.60; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityLAB",https://www.cmpsport.com/ww/men-s-lab-hybrid-jacket-32a3387
Giacca ibrida LAB da uomo,32A3387,8059342329159,Black,54,99.99,Man,Outlet,MAIN FABRIC 94% POLYESTER 6% ELASTANE; INSIDE 100% POLYESTER; INSERT 100% NYLON; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS,"Hybrid softshell jacket inspired by the city but equipped with all the best technologies from the CMP outdoor collection such as the Clima Protect membrane, a special thematic laminate applicated between the fabrics, which protects from the elements while maintaining breathability. Together with PFC free water repellent treatment it ensures excellent waterproofing (WP 5,000 MVP 5,000). A garment with a young, sporty look designed for urban, everyday use.",WP 5.000; MVP 5.000; CMP for Planet; Clima Protect®; Sorona® Flat gr.60; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityLAB",https://www.cmpsport.com/ww/men-s-lab-hybrid-jacket-32a3387
Giacca ibrida LAB da uomo,32A3387,8059342329173,Black,56,99.99,Man,Outlet,MAIN FABRIC 94% POLYESTER 6% ELASTANE; INSIDE 100% POLYESTER; INSERT 100% NYLON; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS,"Hybrid softshell jacket inspired by the city but equipped with all the best technologies from the CMP outdoor collection such as the Clima Protect membrane, a special thematic laminate applicated between the fabrics, which protects from the elements while maintaining breathability. Together with PFC free water repellent treatment it ensures excellent waterproofing (WP 5,000 MVP 5,000). A garment with a young, sporty look designed for urban, everyday use.",WP 5.000; MVP 5.000; CMP for Planet; Clima Protect®; Sorona® Flat gr.60; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityLAB",https://www.cmpsport.com/ww/men-s-lab-hybrid-jacket-32a3387
Giacca ibrida LAB da uomo,32A3387,8059342329074,Black,46,99.99,Man,Outlet,MAIN FABRIC 94% POLYESTER 6% ELASTANE; INSIDE 100% POLYESTER; INSERT 100% NYLON; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS,"Hybrid softshell jacket inspired by the city but equipped with all the best technologies from the CMP outdoor collection such as the Clima Protect membrane, a special thematic laminate applicated between the fabrics, which protects from the elements while maintaining breathability. Together with PFC free water repellent treatment it ensures excellent waterproofing (WP 5,000 MVP 5,000). A garment with a young, sporty look designed for urban, everyday use.",WP 5.000; MVP 5.000; CMP for Planet; Clima Protect®; Sorona® Flat gr.60; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityLAB",https://www.cmpsport.com/ww/men-s-lab-hybrid-jacket-32a3387
Giacca ibrida LAB da uomo,32A3387,8059342329111,Black,50,99.99,Man,Outlet,MAIN FABRIC 94% POLYESTER 6% ELASTANE; INSIDE 100% POLYESTER; INSERT 100% NYLON; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS,"Hybrid softshell jacket inspired by the city but equipped with all the best technologies from the CMP outdoor collection such as the Clima Protect membrane, a special thematic laminate applicated between the fabrics, which protects from the elements while maintaining breathability. Together with PFC free water repellent treatment it ensures excellent waterproofing (WP 5,000 MVP 5,000). A garment with a young, sporty look designed for urban, everyday use.",WP 5.000; MVP 5.000; CMP for Planet; Clima Protect®; Sorona® Flat gr.60; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityLAB",https://www.cmpsport.com/ww/men-s-lab-hybrid-jacket-32a3387
Giacca ibrida LAB da uomo,32A3387,8059342329135,Black,52,99.99,Man,Outlet,MAIN FABRIC 94% POLYESTER 6% ELASTANE; INSIDE 100% POLYESTER; INSERT 100% NYLON; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS,"Hybrid softshell jacket inspired by the city but equipped with all the best technologies from the CMP outdoor collection such as the Clima Protect membrane, a special thematic laminate applicated between the fabrics, which protects from the elements while maintaining breathability. Together with PFC free water repellent treatment it ensures excellent waterproofing (WP 5,000 MVP 5,000). A garment with a young, sporty look designed for urban, everyday use.",WP 5.000; MVP 5.000; CMP for Planet; Clima Protect®; Sorona® Flat gr.60; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityLAB",https://www.cmpsport.com/ww/men-s-lab-hybrid-jacket-32a3387
Giacca ibrida LAB da uomo,32A3387,8059342329197,Black,58,99.99,Man,Outlet,MAIN FABRIC 94% POLYESTER 6% ELASTANE; INSIDE 100% POLYESTER; INSERT 100% NYLON; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS,"Hybrid softshell jacket inspired by the city but equipped with all the best technologies from the CMP outdoor collection such as the Clima Protect membrane, a special thematic laminate applicated between the fabrics, which protects from the elements while maintaining breathability. Together with PFC free water repellent treatment it ensures excellent waterproofing (WP 5,000 MVP 5,000). A garment with a young, sporty look designed for urban, everyday use.",WP 5.000; MVP 5.000; CMP for Planet; Clima Protect®; Sorona® Flat gr.60; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityLAB",https://www.cmpsport.com/ww/men-s-lab-hybrid-jacket-32a3387
Scarpa Laky fast hiking da uomo,3Q36877,8050243261869,NERO-BITTER,"5,5",99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243261890,NERO-BITTER,8,99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243261920,NERO-BITTER,"10,5",99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
