Product Name,Parent SKU,EAN,Color,Size,Price EUR,Gender,Category,Composition,Description,Features,Weight,URL
Maglietta cotone stampa tropicale,30T9367,8057153267233,Anthracite,58,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
Maglietta cotone stampa tropicale,30T9367,8050243403078,B.CO-CYANO,56,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
Maglietta cotone stampa tropicale,30T9367,8050243403085,CYANO-NAVY,56,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
Maglietta cotone stampa tropicale,30T9367,8050243403061,ORANGE-PACIFIC,54,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
Maglietta cotone stampa tropicale,30T9367,8050243403092,ORANGE-PACIFIC,56,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
Maglietta cotone stampa tropicale,30T9367,8050243403122,ORANGE-PACIFIC,58,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
Maglietta cotone stampa tropicale,30T9367,8050243542746,ACIDO-ANTRACITE,56,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
Maglietta cotone stampa tropicale,30T9367,8050243542777,ACIDO-ANTRACITE,58,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
Maglietta cotone stampa tropicale,30T9367,8050243542760,ANTRACITE-GRAFFITE,56,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
Maglietta cotone stampa tropicale,30T9367,8050243542791,ANTRACITE-GRAFFITE,58,99.99,Man,Hiking,100% COTTON; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; MAXIMUM TEMPERATURE 110°C,This crew-neck t-shirt made from 100% cotton with a print design on the front is part of the CMP Beach range. The fresh-feeling fabric and tropical patterning mean it pairs perfectly with the trunks in the same range for an impeccable look on the beach or by the poolside.,,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",https://www.cmpsport.com/ww/tropical-print-cotton-t-shirt-30t9367
