Doc Number,Doc Date,Order Reference,Qty,Product Code,Color Code,Color / Variant,Size (Packing List),EAN,Product Name,Price EUR,Gender,Category,Composition,Description,Features,Weight,Matched Color (from scrape),Matched Size (from scrape),URL,Match Status
82988,08/05/2026,2008/00100017400079,1,36N6097,E406,MELA,50,8055950140407,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,MELA,50,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,2,36N6097,E406,MELA,52,8055950140445,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,MELA,52,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,2,36N6097,E406,MELA,54,8055950140483,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,MELA,54,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,1,36N6097,E406,MELA,56,8055950140520,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,MELA,56,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,1,36N6097,P753,CORDA,46,8055950140346,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Corda,46,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,2,36N6097,P753,CORDA,48,8055950140384,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Corda,48,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,2,36N6097,P753,CORDA,50,8055950140421,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Corda,50,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,1,36N6097,P753,CORDA,52,8055950140469,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Corda,52,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,1,36N6097,P753,CORDA,54,8055950140506,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Corda,54,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,1,36N6097,U423,ANTRACITE,46,8055950140353,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Antracite,46,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
